document_id,filename,title,version,effective_date,page_count,file_size_bytes,extracted_pages,extraction_warning
qa_database_schema_starmine_v1_1_4_2024_01_22,QA Database Schema - StarMine v1.1.4 (2024-01-22).pdf,LSEG Quantitative Analytics – | Database Schema for StarMine | Data,1.1.4,2024-01-22,39,692773,39,
qa_database_schema_starminemarketpsychmediasentiment_v1_1_1_2022_05_05,QA Database Schema - StarMineMarketPsychMediaSentiment v1.1.1(2022-05-05).pdf,LSEG Quantitative Analytics | Database Schema for Starmine MarketPsych | Media Sentiment,1.,2022-05-05,9,339215,9,
qa_database_schema_street_events_v1_0_2_2022_05_05,QA Database Schema - Street Events v1.0.2 (2022-05-05).pdf,LSEG Quantitative Analytics | Database Schema for Street Events Data | Version 1. 0.2,1.,2022-05-05,17,608165,17,
qa_database_schema_symbology_v1_1_9,QA Database Schema - Symbology_v1.1.9.pdf,LSEG Quantitative Analytics | Database Schema for Symbology | V1.1.9 (May 2022),,,16,428542,16,
qa_database_schema_toyo_keizai_v1_0_5_2023_08_29,QA Database Schema - Toyo Keizai v1.0.5 (2023-08-29).pdf,LSEG Quantitative Analytics | Database Schema for Toyo Keizai | Version 1. 0.5,1.,2023-08-29,13,362778,13,
qa_database_schema_trbc_v1_1_4_2022_05_05,QA Database Schema - TRBC v1.1.4 (2022-05-05).pdf,LSEG Quantitative Analytics | Database Schema for The Reference Business | Classification (TRBC) Data,1.,2022-05-05,18,451717,18,
qa_database_schema_us_insider_v1_1_2023_05_03,QA Database Schema - US Insider v1.1 (2023-05-03).pdf,LSEG Quantitative Analytics | Database Schema for US Insider Data | Version 1. 1,1.,2023-05-03,15,347461,15,
qa_database_schema_worldscope_point_in_time_v1_0_6_2023_09_15,QA Database Schema - Worldscope Point in Time v1.0.6 (2023-09-15).pdf,LSEG Quantitative Analytics | Database Schema for LSEG Worldscope Point in | Time,1.,2023-09-15,21,499847,21,
qa_database_schema_worldscope_v1_2_5_2022_09_02,QA Database Schema - Worldscope v1.2.5 (2022-09-02).pdf,REFINITIV | QUANTITATIVE ANALYTICS | DATABASE SCHEMA FOR WORLDSCOPE,"1.2.5 
ISSUED",2022-09-02,28,566854,28,
quantitative_analytics_schema_catalog_v1_0,Quantitative Analytics Schema Catalog v1.0.pdf,LSEG Quantitative Analytics | Quantitative Analytics Schema Catalog | Version 1.0,"1.0 
CORPORATE",,8,389187,8,
